"Player","Salary"
"PLAYER","2024/25"
"Stephen Curry","$55,761,217"
"Nikola Jokic","$51,415,938"
"Joel Embiid","$51,415,938"
"Kevin Durant","$51,179,020"
"Bradley Beal","$50,203,930"
"Jaylen Brown","$49,205,800"
"Karl-Anthony Towns","$49,205,800"
"Devin Booker","$49,205,800"
"Paul George","$49,205,800"
"Kawhi Leonard","$49,205,800"
"Jimmy Butler","$48,798,677"
"Damian Lillard","$48,787,676"
"Giannis Antetokounmpo","$48,787,676"
"LeBron James","$48,728,845"
"Rudy Gobert","$43,827,586"
"Anthony Davis","$43,219,440"
"Trae Young","$43,031,940"
"Zach LaVine","$43,031,940"
"Luka Doncic","$43,031,940"
"Fred VanVleet","$42,846,615"
"Lauri Markkanen","$42,176,400"
"Tyrese Haliburton","$42,176,400"
"Pascal Siakam","$42,176,400"
"Anthony Edwards","$42,176,400"
"Kyrie Irving","$41,000,000"
"Domantas Sabonis","$40,500,000"
"Ben Simmons","$40,338,144"
"Darius Garland","$36,725,670"
"Ja Morant","$36,725,670"
"Zion Williamson","$36,725,670"
"OG Anunoby","$36,637,932"
"Jamal Murray","$36,016,200"
"Brandon Ingram","$36,016,200"
"Michael Porter","$35,859,950"
"Shai Gilgeous-Alexander","$35,859,950"
"Donovan Mitchell","$35,410,310"
"LaMelo Ball","$35,147,000"
"Tyrese Maxey","$35,147,000"
"Jayson Tatum","$34,848,340"
"Bam Adebayo","$34,848,340"
"De'Aaron Fox","$34,848,340"
"Desmond Bane","$34,005,250"
"Deandre Ayton","$34,005,126"
"James Harden","$33,653,846"
"CJ McCollum","$33,333,333"
"Julius Randle","$33,073,920"
"Immanuel Quickley","$32,500,000"
"Khris Middleton","$31,666,667"
"Jrue Holiday","$30,000,000"
"Isaiah Hartenstein","$30,000,000"
"Jerami Grant","$29,793,104"
"Jordan Poole","$29,651,786"
"Dejounte Murray","$29,517,134"
"Devin Vassell","$29,347,826"
"Kristaps Porzingis","$29,268,293"
"Tyler Herro","$29,000,000"
"Nicolas Claxton","$27,556,817"
"Miles Bridges","$27,173,913"
"John Collins","$26,580,000"
"Andrew Wiggins","$26,276,786"
"Anfernee Simons","$25,892,857"
"RJ Barrett","$25,794,643"
"Tobias Harris","$25,365,854"
"Jaren Jackson Jr","$25,257,798"
"Jonathan Isaac","$25,000,000"
"Jalen Brunson","$24,960,001"
"Terry Rozier","$24,924,126"
"Draymond Green","$24,107,143"
"Kyle Kuzma","$23,522,727"
"DeMar DeRozan","$23,400,000"
"Mikal Bridges","$23,300,000"
"Jaden McDaniels","$23,017,242"
"Brook Lopez","$23,000,000"
"Bruce Brown","$23,000,000"
"Aaron Gordon","$22,841,455"
"Kentavious Caldwell-Pope","$22,757,000"
"Cameron Johnson","$22,500,000"
"Malcolm Brogdon","$22,500,000"
"Clint Capela","$22,265,280"
"Dillon Brooks","$22,255,493"
"De'Andre Hunter","$21,696,429"
"Lonzo Ball","$21,395,348"
"Marcus Smart","$20,210,285"
"Derrick White","$20,071,429"
"Nikola Vucevic","$20,000,000"
"Jarrett Allen","$20,000,000"
"Myles Turner","$19,928,500"
"Jakob Poeltl","$19,500,000"
"Duncan Robinson","$19,406,000"
"Norman Powell","$19,241,379"
"Bojan Bogdanovic","$19,032,850"
